NARI EXPANDED VOCABULARY

Total entries: 3510

Format: Nari = English

Notes:
* v1.2 keeps the grammar simple and makes vocabulary less English-looking.
* tea the drink is tisa, and teacher is taver.
* sun the star is sol, and morning is morn.

=== ABSTRACT NOUNS ===

fovet = ability
safud = action
kugul = activity
fifek = addition
relov = administration
tidun = advance
saper = agreement
serip = alliance
badav = apartment
ranas = argument
dogol = association
safi = balance
rudor = business
gipov = celebration
chansa = chance
siti = city
zidi = comment
reri = confidence
sorep = conversation
vufiz = corporation
tupel = discussion
rara = distance
dumi = document
budo = enhance
seve = entrance
tame = environment
sipu = evidence
tibu = experience
sito = experiment
nina = facility
rufu = fence
sigi = fiction
nebuabs = finance
sagod = fitness
vuka = foundation
mumeabs = function
reniabs = generation
bizu = glance
temu = government
gravita = gravity
hapnes = happiness
zubot = illness
sapa = impression
nito = improvement
tofa = independence
rera = indication
turu = infection
suve = inflation
delo = influence
vigiz = information
tisar = injection
pube = instance
doze = institution
tura = instruction
loli = instrument
soge = insurance
dagu = intelligence
gobu = intensity
viva = intention
deni = interaction
roze = interpretation
sobi = intervention
rogi = introduction
zeba = invasion
ruve = investigation
kire = investment
bulu = involvement
suse = judgment
momenta = moment
pubip = operation
momek = organization
lufat = payment
busuk = prescription
qualita = quality
kesa = question
sainsa = science
seni = sentence
bibok = sickness
situwasha = situation
solushona = solution
tinub = tournament
zigog = treatment
univa = university
nipaz = vacation

=== ABSTRACT AND CIVIC ===

slunsle = attention
drulhid = behavior
durdro = belief
vanni = choice
sorbrin = danger
kelzirz = decision
momhube = difference
zebuthu = economy
jelfogi = election
tasofun = emotion
draszo = nature
gesguta = permission
badrenz = relationship
rurjisf = responsibility
bosan = safety

=== ACTIONS ===

kulba = lift
neli = mark
bralel = marry
tesslom = mix
lasa = prefer
zuras = press
birpo = repair
jisvan = sleep
thamum = wash
togu = wear

=== ADJECTIVES ===

bone = Islamic
vole = able
derig = abnormal
biniv = academic
razod = acceptable
sorip = accessible
pibop = accidental
vizaz = acidic
nukuk = acoustic
petef = active
komok = actual
suvip = adaptable
muful = addictive
vesob = additional
matut = admirable
sikub = adorable
galam = adventurous
felog = aggressive
mosum = agreeable
nami = alive
dusov = alternative
dagaf = ambitious
nodiz = amiable
muvas = angelic
rokor = annual
vofas = anxious
futeg = apathetic
zudel = appeal
dovam = appreciative
fini = arrive
nuvig = artificial
gubuf = artistic
zopeg = athletic
pegem = attractive
fidad = authentic
lodaz = automatic
makos = available
mepiz = awful
ganeg = basic
gakit = beautiful
fegen = believable
fipeb = beneficial
mogi = bless
natup = blissful
nelet = boundless
